Year_Recorded,Month_Recorded,Price_Aluminium_per_Ton,Price_Tin_per_Ounce,Price_Copper_per_Ton,Price_Iron_per_Ounce,Price_Steel_per_Ton,Inflation_Rate_Percentage,Aluminium_Price_Inflation_Adjusted,Tin_Price_Inflation_Adjusted,Copper_Price_Inflation_Adjusted,Iron_Price_Inflation_Adjusted,Steel_Price_Inflation_Adjusted,Price_Chromium_Adjusted
2023,Jan,2840.06,995.53,4335.01,55.24,2535.4667800453517,4044.28,2341.21,1265.8,178.51,1761.35,1422.18,1931.47
2001,Feb,2499.660728699552,821.27,4454.76,1403.68,2843.83,1570.62,2439.1788392857147,952.48,624.06,639.18,3778.77,228.54
1994,May,3558.65,4525.11,2490.25,2549.7043023255815,2513.94,2900.31,4397.5,1583.48,401.33,3807.52,2434.52,967.2
2013,Jun,651.89,2793.5,2540.63,1924.9,3445.67,4450.75,2690.66,4516.81,2803.5,3369.93,2620.03,588.93
2000,Nov,842.47,3992.23,3221.53,3947.93,1024.06,3391.71,4637.67,3720.16,2896.08,1749.91,3623.17,484.81
2005,Apr,2581.28,791.47,4359.16,2676.23,1740.01,140.87,614.79,1503.07,2075.89,562.28,972.08,2311.51
2005,Oct,4853.89,1899.61,342.29,4562.13,3601.76,517.05,3179.4,4127.46,2378.0,4363.26,3914.51,1485.84
2002,Jun,1489.72,4133.09,3754.02,1798.9,4032.67,4486.75,623.13,4927.19,328.07,514.35,3384.03,814.95
2002,Apr,2499.660728699552,4252.35,1798.97,4817.36,1834.39,2954.27,1087.15,1784.54,4330.73,3014.08,3127.28,4690.29
2005,Feb,1763.23,2163.53,2159.59,3985.76,4934.55,1527.48,3708.82,3139.19,3668.85,3005.78,1468.81,4627.07
2008,Jan,4683.4,3580.68,1770.89,1344.16,844.36,3159.67,828.61,1350.77,4746.34,2119.35,1290.82,1113.66
2015,May,3041.1,1666.33,1510.03,1295.92,4754.25,2408.38,3876.72,4079.56,2529.54,4291.59,2815.65,534.56
2005,Dec,1542.47,1868.9,1303.94,2549.7043023255815,4637.15,1853.32,4217.97,3126.27,2563.74,3822.96,3208.44,163.24
2003,Jan,3313.71,2654.54,1472.11,2557.67,2535.4667800453517,4095.87,1793.34,4021.7,709.63,4889.34,415.28,2035.04
2002,Jul,974.5,3543.01,2663.31,1683.05,1674.73,3845.36,4590.93,287.78,1441.67,3263.78,4031.02,578.54
2019,May,2599.79,3741.78,1620.48,595.47,1665.49,4399.59,1812.38,1143.44,4130.8,1403.63,1435.43,3088.44
2003,Mar,909.83,1787.62,3133.77,2028.57,1752.32,2186.12,3337.55,3157.45,1882.19,341.73,367.17,2661.48
2011,Jan,3299.77,2687.45,596.32,886.8,4489.21,3293.79,3623.25,4097.83,3909.1,1641.14,1225.28,502.58
1991,Mar,2348.2,1533.06,2799.38,4239.1,2775.1,1014.68,2294.68,256.03,525.9,2935.71,147.87,3013.7
2001,Apr,1742.77,3927.82,2508.5359800664455,4833.67,2004.29,1134.42,3160.5,2991.38,3615.17,562.72,3361.23,1017.23
2024,May,1889.15,1851.34,4750.46,3229.45,955.81,2157.7,3478.43,584.36,1874.06,2553.46,1018.96,271.38
1997,Aug,1784.38,3259.95,3592.71,2849.55,2979.46,2205.84,3369.14,2465.7677825159913,4227.0,3965.88,2293.99,4537.38
1993,Dec,1597.5,4927.8,2560.21,3244.14,1709.9,1028.09,4844.92,3783.43,930.97,1953.63,3644.95,4927.33
1998,Jun,4745.93,2761.98,2508.5359800664455,4165.18,4273.92,296.38,3130.31,2137.96,4658.87,3784.08,2598.7,458.75
2016,Dec,2341.17,3031.27,2157.13,4232.84,2239.96,3777.3,4856.3,2062.3,368.68,3994.23,579.84,727.51
2022,Jan,2957.16,4566.8,786.15,435.46,4607.73,3826.7,4339.42,4092.69,2074.31,1512.06,3280.84,3684.24
2005,Aug,2224.29,956.85,2160.31,656.85,2364.62,1222.81,368.95,4918.27,877.57,4137.78,3305.69,1967.88
2003,Aug,3035.44,91.02,2904.45,3419.82,2112.35,1925.27,3065.54,4648.82,970.27,1142.38,3888.44,773.43
2016,Aug,4446.51,3891.04,944.35,2610.61,4229.15,1251.97,1989.43,172.65,1108.31,3623.13,1671.5,4240.42
2021,Jul,1796.89,1256.74,4150.97,4518.72,4295.5,4921.93,3099.39,1755.95,3036.64,3281.27,3968.52,1424.52
2020,Oct,2060.01,4825.35,1339.63,141.78,3321.35,1472.41,2844.18,2302.95,1944.65,2568.1679128440364,3961.32,1210.22
1995,Nov,2367.01,2654.35,3190.72,549.78,528.61,1144.77,2063.96,524.45,3148.56,4357.46,1513.97,1649.7
2023,Nov,1882.37,2803.03,2408.15,1467.39,4488.01,4534.11,3520.98,425.4,15.72,1746.28,4493.17,2485.71
2021,Jun,2591.29,4866.96,1414.88,2549.7043023255815,550.21,3814.09,1259.42,4171.7,3268.83,4205.28,4027.16,3684.72
1993,Nov,3111.04,2118.69,4714.05,546.87,2545.63,3819.83,2385.51,4696.39,316.81,1140.01,783.66,1058.44
2023,May,63.29,1036.1,43.7,4751.32,1392.73,1696.32,4138.63,2829.4,4977.23,1411.26,413.08,1604.12
1994,Jun,3577.71,3979.1,2508.5359800664455,719.83,2637.07,3698.27,4756.09,1686.46,167.88,367.13,163.53,4144.65
1993,Jul,2622.66,4266.12,2508.5359800664455,2659.03,4866.43,3149.58,4341.24,46.19,4575.64,4708.5,4711.99,4781.52
2015,Mar,2784.15,195.21,2508.5359800664455,4607.51,141.97,4875.29,958.25,2259.39,3691.77,3653.09,1875.59,3824.63
1995,Jul,2084.22,2244.41,4321.43,4967.89,3382.27,2718.44,4244.41,2613.69,4340.36,1514.13,147.53,1889.07
2022,Mar,3532.92,4045.83,4824.13,3669.93,1510.16,2479.4544587352625,2104.27,227.72,4762.82,3786.91,3094.68,2593.57
1996,Dec,555.38,3539.14,3714.08,951.23,1570.35,176.67,3537.79,1511.53,2630.4669939305713,4091.71,1216.14,2464.9593049327354
2021,Apr,4263.81,3352.1,454.8,2553.25,145.16,1250.1,141.94,3837.44,4093.52,4878.44,2438.0436627282497,3172.22
2020,Mar,1832.54,1050.91,2265.43,529.55,3579.12,107.5,3841.63,1303.88,3826.86,2568.1679128440364,440.44,3179.69
2000,Mar,4009.04,1971.19,1481.4,1605.32,108.78,3574.47,520.85,2558.35,4336.03,2627.93,1714.97,854.05
1994,May,2499.660728699552,4017.39,4019.23,2302.89,1078.1,2145.05,3504.56,2390.06,3652.51,2082.5,3958.31,2464.9593049327354
2015,May,1554.66,26.78,4115.31,4215.44,676.16,1235.15,3858.95,115.42,4220.99,3102.37,1058.96,1916.1
2009,Sep,1421.46,1775.77,4789.62,2840.02,2175.22,3527.02,3634.31,860.97,1591.35,867.79,3114.03,2958.3
2003,Jun,3721.82,2957.55,3901.37,2754.42,607.02,4265.8,3890.09,3557.46,1097.19,1325.92,1403.83,1681.05
2020,Sep,2549.12,1661.73,17.58,2142.35,1859.52,2522.2,2302.37,4197.71,2938.86,3604.41,1034.52,686.88
2008,May,1466.14,2937.27,4570.98,2576.67,1575.55,3015.75,3625.69,400.66,3397.35,4004.06,712.74,1821.94
1995,Aug,1026.94,953.49,2740.04,1391.75,2819.06,4723.56,3494.61,4483.36,791.89,1964.05,4248.65,1728.89
1990,Mar,16.64,1750.84,4247.95,1980.23,2535.4667800453517,2729.63,2439.1788392857147,1517.99,3334.8,4946.96,375.09,1073.56
2011,Jan,2499.660728699552,291.09,2910.64,2549.7043023255815,4112.3,3216.68,2439.1788392857147,1734.4,410.95,3176.7,2984.26,3403.41
2024,Oct,1568.93,262.74,2508.5359800664455,2549.7043023255815,797.38,1637.76,3753.66,4654.05,2641.31,1905.81,3603.71,3101.87
2019,Jan,221.95,1561.34,500.01,1097.81,777.26,139.77,1691.58,2247.2,130.79,2568.1679128440364,2137.99,2397.64
2024,Jan,4773.0,2072.78,2374.97,1678.08,2621.06,1481.96,4376.16,2524.1,3002.97,3431.05,1407.34,3012.1
2007,Jan,308.4,478.06,4639.25,3491.7,4268.36,2033.41,372.66,1932.8,2630.4669939305713,3899.19,3277.08,4713.29
2019,Aug,2570.65,4958.6,2508.5359800664455,3388.35,2535.4667800453517,993.81,1825.18,3507.28,3182.18,3943.6,4419.58,3532.73
1993,Oct,731.85,2483.14,61.2,61.16,1963.37,163.0,4617.61,2721.85,3719.51,1774.68,1288.3,2510.65
1990,Sep,3725.04,718.5,4052.87,2460.99,2015.68,1802.33,3475.74,4972.33,2368.14,1368.19,4200.48,2464.9593049327354
2016,Jun,4806.13,3933.48,1306.81,1845.26,4381.53,3961.66,3036.85,4867.22,1000.39,3238.5,4995.91,828.54
1995,Dec,2312.23,1519.27,4663.59,2168.64,4383.72,3527.55,4909.7,3821.8,4511.1,2317.17,2966.18,3553.89
2006,Apr,2066.94,3280.92,3489.53,2522.81,758.75,4728.63,1580.69,2612.45,2584.18,3172.03,4873.43,2148.9
2007,Dec,2663.54,4847.89,873.65,1905.33,2334.3,3393.54,3509.49,2402.38,4978.3,355.17,4139.04,4098.92
2023,Jan,2499.660728699552,1147.53,1049.32,3200.84,2489.35,3173.01,4855.74,1085.14,1678.7,471.37,3849.65,778.71
2005,Oct,1884.39,1023.89,2092.47,2041.09,4659.51,4945.94,3453.6,1025.42,1225.21,2469.72,1562.19,35.29
1997,Apr,4234.4,58.25,3481.91,4957.85,1341.22,1284.85,4303.42,4063.13,2630.4669939305713,3642.56,1154.78,2816.71
2024,Jan,2757.56,3304.9,4310.28,345.31,3136.33,1406.49,4919.73,3603.53,4079.61,2980.81,2438.0436627282497,484.48
2017,Aug,1846.82,477.91,2159.46,2781.78,2521.4,3621.33,4030.91,896.41,3896.06,2567.64,2212.97,2345.66
2008,Nov,752.83,3089.81,1945.8,2379.57,2535.4667800453517,299.45,2929.36,4124.39,2607.05,2568.1679128440364,1872.91,1120.45
1995,Feb,2279.26,412.48,753.93,2648.02,1848.76,786.84,959.66,2461.47,2061.93,3589.43,996.1,1692.18
2005,Oct,3705.26,1251.97,4199.61,943.54,2410.02,1037.15,3523.61,384.13,2886.74,628.9,3671.69,2746.65
2024,Aug,4156.46,2173.97,4702.86,673.7,4583.05,1894.26,1674.53,1230.61,2947.19,3021.36,672.66,3418.47
2020,Aug,208.16,1842.28,1490.95,3581.75,2209.34,3541.24,4548.62,105.84,4900.58,475.75,3519.88,4683.67
2008,Jul,1051.69,1094.73,988.32,1196.05,4464.16,3681.33,1499.01,1746.55,1066.83,4750.73,2452.17,4452.01
2005,Mar,477.76,1364.88,4697.45,3334.99,1032.44,2654.31,3363.23,3411.2,4724.78,2175.04,257.42,978.58
1993,Mar,888.67,4366.74,2508.5359800664455,709.83,686.91,2817.15,972.54,3382.13,2340.31,4965.38,3755.3,4081.58
2007,Jan,3495.77,3354.59,711.96,2549.7043023255815,2840.21,1437.08,997.14,4401.17,3674.73,2065.1,356.6,3928.29
1994,May,1578.79,2399.41,3416.11,556.93,3727.73,1317.09,4100.66,2836.28,892.4,1856.88,2799.49,4475.16
2009,Jan,919.62,4215.91,2031.33,3917.68,873.5,2055.7,1464.84,4465.78,2402.55,154.72,2173.83,4980.23
1994,Jan,2499.660728699552,4393.6,3711.91,1241.83,4278.67,1741.68,2850.85,2323.8,3340.4,3717.48,2119.58,2177.96
2004,Dec,2499.660728699552,4437.14,3193.28,1965.5,1230.11,4871.68,2476.01,3324.0,4534.27,658.05,4144.35,1164.6
2022,Aug,2665.09,3195.94,2977.38,4054.44,3410.27,2463.31,3395.6,2073.29,3296.6,3449.1,2809.43,1587.34
2007,Feb,2235.46,2268.7,1347.22,3483.62,1078.82,387.82,65.55,1284.33,3785.3,2568.1679128440364,3108.44,1344.37
2009,Dec,714.06,4609.43,2726.54,2547.14,1108.71,1518.78,988.0,4503.66,2630.4669939305713,127.29,4977.2,42.28
1996,Apr,578.71,3819.99,4005.53,2549.7043023255815,4228.75,2011.4,1248.78,1099.32,633.83,4100.8,4408.28,3202.14
2011,Feb,3598.4,1505.34,619.39,657.62,26.13,1676.97,3551.57,4537.35,2237.51,167.83,2717.76,1493.23
2010,Apr,1229.21,1070.32,1772.65,4513.37,1205.54,456.9,4910.57,4193.3,2630.4669939305713,4462.23,1120.71,2101.4
2016,Aug,2390.7,2482.9329770992367,2010.05,2244.85,1634.43,4589.14,3358.3,3860.67,2630.4669939305713,4909.8,1090.63,4175.44
2001,Nov,4780.35,4861.99,785.72,2549.7043023255815,1230.55,2906.28,3477.96,28.83,778.93,4301.11,1970.38,2267.24
2021,Sep,3274.01,281.04,4872.69,2072.2,48.01,4064.21,739.75,3665.68,3288.01,4130.05,1976.3,1977.3
2017,May,1419.16,2429.24,1460.98,4153.46,252.08,1087.92,1629.13,2154.74,1849.23,2578.6,214.26,3872.66
2008,May,2499.660728699552,4232.01,2024.8,591.7,2535.4667800453517,1665.98,3299.51,4496.1,1040.67,1833.46,685.69,2409.61
1997,Mar,1756.72,3527.47,113.69,3889.63,2568.86,773.11,1216.32,3333.14,414.79,310.95,4421.19,4943.34
2000,Jul,3005.76,2950.65,3012.75,4197.38,1725.61,3782.35,796.88,4546.65,565.94,4089.01,1446.69,4232.53
2009,Mar,1978.72,3236.04,2641.34,2592.49,4516.83,1092.18,2439.1788392857147,1155.66,4386.92,2069.24,2289.3,1435.92
2017,Oct,3843.99,1754.41,3471.16,1576.42,2846.18,3351.41,2439.1788392857147,680.32,4510.76,4313.1,424.85,471.95
2001,Feb,3971.78,1279.94,4253.8,4550.98,3401.18,4760.18,1740.45,571.84,2070.32,2941.12,2089.69,82.51
1995,Nov,1095.95,297.28,1513.0,122.96,2682.52,2228.17,1497.39,2707.21,1974.29,524.93,1742.99,4985.44
1990,Jan,3320.18,904.62,3334.54,417.74,2441.45,1008.51,1635.88,569.53,3510.35,4921.55,4134.99,4296.34
2020,Nov,778.62,1288.97,2091.06,4752.86,444.36,403.19,569.69,2383.72,454.55,476.77,1812.57,2464.9593049327354
2003,Apr,4777.61,3754.7,642.54,3557.51,2678.79,3930.21,4370.3,717.93,1309.5,2660.61,316.25,3894.98
2007,Aug,4660.17,3606.02,4567.7,2053.38,4531.3,2955.23,2732.08,466.23,3944.18,3882.69,4512.17,3155.67
1998,Nov,2499.660728699552,2482.9329770992367,956.03,4148.93,2519.32,3634.28,3722.32,4734.9,2630.4669939305713,4601.59,2380.82,3434.86
2007,Sep,3515.13,4116.62,1909.26,256.18,4875.09,1238.58,609.06,2397.95,3727.72,2094.12,4021.68,3734.65
2018,Oct,1233.51,4697.03,2508.5359800664455,744.24,4803.31,2323.03,749.41,1763.72,307.33,153.43,1659.62,2673.61
2002,Apr,266.35,1280.25,2144.65,4922.72,1304.19,2300.17,4359.31,96.05,15.73,39.39,4057.16,485.71
2013,May,1271.85,2446.1,3831.99,1831.25,4033.7,2280.89,2543.85,636.56,308.13,2568.1679128440364,2438.0436627282497,3969.97
1995,Jan,2111.41,3662.98,766.0,169.18,2391.87,346.65,4126.08,4916.59,4771.88,2366.07,1874.33,565.53
2014,Jan,2499.660728699552,1551.76,2504.17,4859.84,1766.8,724.62,2448.67,999.21,1205.17,3940.84,1515.72,2215.93
2000,Jan,726.46,264.03,688.72,2631.61,4194.86,156.02,4822.5,4762.38,2630.4669939305713,4842.48,727.54,106.28
1990,Jan,2129.01,1679.53,2124.61,743.87,3243.14,2151.02,4185.39,3756.35,2436.72,4991.48,3614.63,3097.58
1996,Jan,3894.25,1643.74,596.75,1550.72,1451.4,4340.65,728.13,3691.77,4959.72,2568.1679128440364,4320.28,3560.11
2002,Jul,3597.98,1207.93,4155.34,2454.16,1826.75,553.66,1850.93,4328.65,327.34,3174.16,3371.61,2454.59
2019,Jun,651.07,2185.31,1810.75,1572.28,4843.72,96.78,4835.33,2888.43,42.2,4481.05,2121.57,4790.08
1999,Mar,4717.58,1756.75,4514.19,3750.45,3550.01,3201.43,2439.1788392857147,3762.69,4273.85,1870.67,2046.91,3775.37
2024,Nov,2717.26,551.2,3506.26,817.75,2535.4667800453517,4136.84,4495.12,3759.46,4904.18,3725.54,3419.55,316.08
1997,Sep,690.2,3446.96,1622.34,3188.85,4969.27,303.46,3001.87,2465.5,326.67,2463.12,209.77,186.32
2016,Feb,1454.63,4555.02,3033.67,230.82,191.14,803.42,232.58,2610.95,679.29,2282.59,4876.53,1709.37
1996,Oct,912.15,2482.9329770992367,2353.79,3790.93,2535.4667800453517,340.26,1594.25,3442.77,286.93,4704.81,3756.55,487.96
2009,Feb,59.12,526.29,618.18,2549.7043023255815,2535.4667800453517,3283.24,472.92,189.62,3238.78,1913.12,1415.36,480.12
2001,Oct,2813.96,2482.9329770992367,2289.22,3745.72,2563.15,2726.32,3470.53,4755.36,4765.77,2500.1,163.91,1726.05
2002,Jun,4153.57,4327.06,1822.25,3342.14,1417.95,2467.46,1742.01,2465.7677825159913,2599.68,790.23,156.19,3087.67
1993,Sep,4255.24,2765.86,4481.25,1565.87,4142.44,3582.69,3930.69,4825.01,3485.23,2684.34,2331.81,951.27
2012,Sep,4373.38,1874.03,2508.5359800664455,2600.36,4401.9,2576.42,45.76,1788.77,4420.43,2199.24,3608.53,4606.99
2001,Feb,3338.9,582.96,4862.81,1218.17,4867.05,4267.97,947.13,2544.9,1201.79,3582.19,4496.73,4757.6
2008,Nov,42.63,4527.35,3940.76,2749.67,2949.54,3687.12,1460.57,2452.56,3591.83,3614.7,1924.59,2464.9593049327354
2024,Feb,802.1,1641.32,1573.9,787.53,2467.17,304.81,2439.1788392857147,2814.99,2504.94,1816.87,1442.5,4643.95
2017,Dec,1432.14,3396.44,2778.25,2069.91,4276.82,2479.4544587352625,1309.95,4756.87,544.74,2694.6,3792.08,3212.03
2006,Jun,2481.17,4655.96,4605.02,4450.44,2932.7,85.18,544.4,1562.95,2912.54,2050.93,2440.48,742.59
1997,Jul,2499.660728699552,2673.58,1869.16,1253.42,2124.79,2981.84,1441.06,1243.27,3178.97,3720.67,227.55,4834.62
2007,Apr,1165.28,2306.93,784.93,624.14,303.18,2227.8,1136.11,35.93,482.45,3394.78,2553.46,3569.72
2011,Dec,2338.24,3124.0,1346.32,1766.56,2347.47,2923.17,2853.43,1895.71,2630.4669939305713,2568.1679128440364,781.16,1125.99
2011,May,753.1,4046.99,4175.71,1217.11,1726.17,4632.94,4580.54,1770.59,3856.98,4761.77,1797.34,2345.17
2019,Sep,4672.41,3096.19,617.12,4380.11,3925.24,980.12,75.15,1027.2,4740.25,3605.84,2465.02,1599.19
2009,Apr,748.22,2920.96,3835.71,1888.6,2647.0,4599.16,1053.97,1549.93,1653.07,2568.1679128440364,133.84,1916.94
2017,Dec,68.64,2903.87,3038.77,1831.46,4178.95,4727.89,3000.62,3658.94,2814.1,3443.44,1388.95,3838.48
2017,Jan,2031.19,3289.67,278.89,3010.39,4010.15,3400.66,4176.18,723.02,7325.3925,2568.1679128440364,2335.07,2464.9593049327354
1997,Apr,2084.63,3484.07,1866.25,2425.21,3184.15,1564.61,1926.7,3201.69,2928.06,2689.18,1501.03,649.98
2017,Jul,1148.12,3958.74,2508.5359800664455,3826.66,1509.9,1177.03,1588.34,1607.09,262.14,290.0,604.16,1633.29
1998,Apr,12.37,4631.52,58.71,3289.8,3369.27,1681.66,4507.94,3268.73,2657.14,1314.49,319.9,1885.73
2021,Jan,4737.3,2393.48,347.26,2994.5,1066.74,2219.88,2983.35,1876.1,3846.52,3237.11,4336.43,1913.6
1998,Mar,4138.36,1612.46,3188.23,1227.16,1399.21,4345.71,2317.1,2054.61,3768.87,1743.05,3531.54,1122.17
2008,Jun,3626.79,3577.24,2598.88,4233.24,324.13,1535.7,4975.96,2427.34,4193.9,688.04,4293.97,127.03
1997,Nov,1624.7,1647.46,2459.27,78.66,2070.89,695.19,1573.63,2716.0,889.81,544.09,3373.83,2234.71
2014,Sep,3924.53,3330.97,4140.25,4664.69,3887.74,2397.84,3879.37,1166.75,393.41,2200.56,2866.92,1320.86
1998,May,2499.660728699552,4583.31,1082.39,3897.65,3986.65,2889.54,2900.2,4512.84,1188.08,2661.19,738.11,3595.22
2022,Aug,2499.660728699552,2482.9329770992367,2224.58,4399.14,4869.63,4688.72,2835.26,209.37,4031.46,2568.1679128440364,1474.86,4444.54
2015,Mar,1598.79,2528.48,4090.38,634.91,3341.65,3564.84,301.87,3830.73,3218.65,306.32,4138.2,3537.17
1992,Sep,2499.660728699552,3099.83,1156.27,1055.29,4275.43,3608.44,3536.48,3567.32,3074.27,2879.13,2757.65,1480.82
2020,Dec,2697.09,3981.36,469.49,3955.56,1324.64,3007.2,4049.32,4712.98,2954.53,4113.52,794.97,3134.8
2023,Jan,1462.23,2947.84,1582.57,4856.38,4019.08,2759.57,424.33,1488.15,1112.12,4948.74,2786.01,484.94
2008,Jun,2499.660728699552,1550.53,2163.1,3549.15,3628.09,4639.42,3280.58,4125.32,2038.76,907.85,4722.18,3866.83
2010,Mar,1919.04,2431.27,1871.86,3529.48,3108.54,1632.23,1895.89,3198.69,2804.14,621.02,2438.0436627282497,4776.37
2016,Oct,3945.88,1325.37,907.08,3872.87,335.74,2199.93,3626.76,4168.7,2630.4669939305713,154.07,2541.85,836.99
1991,Dec,25.9,4147.78,3670.44,3016.24,2381.75,4017.65,1678.02,2465.7677825159913,1410.79,461.15,2181.62,2246.77
